Location Name,Location Type,Project,Location ID,Site,Hole,SiteHole,Original ID,Hole ID,Platform,Date,Water Depth (m),Country,State_Province,County_Region,PI,Lat,Long,Elevation,Position,Storage Location Working,Storage Location Archive,Sample Type,Comment,mblf T,mblf B,Metadata Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Mbalang,lake,CAPA,MBLG,1,A,1A,CAPA-Ranch-91-1 N'Googaba,CAPA-MBLG91-1A,uknown,19911231,,Cameroon,Adamawa,,Kerry Kelts,7.324,13.739,1105,general (location within lake/site unknown or not digitized),LacCore_CIvE,unknown,core,,,,google ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Gagouba,lake,CAPA,GBA,1,A,1A,CAPA-Eroeaba 91-1,CAPA-GBA91-1A,uknown,19911231,,Cameroon,Adamawa,,Kerry Kelts,7.108,13.69,1182,general (location within lake/site unknown or not digitized),LacCore_CIvE,unknown,core,,,,google ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Lake Gagouba,lake,CAPA,NGBA,2,A,2A,CAPA-PIBlang 91-2,CAPA-NGBA91-2A,uknown,19911231,,Cameroon,Adamawa,,Kerry Kelts,7.13,13.694,1163,general (location within lake/site unknown or not digitized),LacCore_CIvE,unknown,core,,,,google ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Awash Osi Isi,paleolake,HSPDP,NAO,1,A,1A,,HSPDP-NAO14-1A,ground,20140223,0.0,Ethiopia,Afar,,"Chris Campisano, Ramon Arrowsmith, Kay Reed, Jonathan Wynn, Andy Cohen, Asfat Asrat",11.31514,40.7369,520,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,1.82,4.44,PI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Awash Osi Isi,paleolake,HSPDP,NAO,1,B,1B,,HSPDP-NAO14-1B,ground,20140228,0.0,Ethiopia,Afar,,"Chris Campisano, Ramon Arrowsmith, Kay Reed, Jonathan Wynn, Andy Cohen, Asfat Asrat",11.31518,40.73689,520,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,1.29,187.513,PI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Awash Osi Isi,paleolake,HSPDP,NAO,1,C,1C,,HSPDP-NAO14-1C,ground,20140303,0.0,Ethiopia,Afar,,"Chris Campisano, Ramon Arrowsmith, Kay Reed, Jonathan Wynn, Andy Cohen, Asfat Asrat",11.31519,40.73695,520,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0,2.6,PI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Awash Osi Isi,paleolake,HSPDP,NAO,1,D,1D,,HSPDP-NAO14-1D,ground,20140303,0.0,Ethiopia,Afar,,"Chris Campisano, Ramon Arrowsmith, Kay Reed, Jonathan Wynn, Andy Cohen, Asfat Asrat",11.31519,40.73695,520,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0,169.84,PI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Awash Warenso,paleolake,HSPDP,NAW,1,A,1A,,HSPDP-NAW14-1A,ground,20140312,0.0,Ethiopia,Afar,,"Chris Campisano, Ramon Arrowsmith, Kay Reed, Jonathan Wynn, Andy Cohen, Asfat Asrat",11.32535,40.76491,495,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0,244.365,PI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Loon,lake,SPA,3LOO,1,A,1A,,SPA-3LOO09-1A,ice,20090410,5.75,USA,Alaska,Nome,Katey Walter,66.495611,-164.251794,45,exact (read from GPS),University of Alaska Fairbanks,LacCore_MRPH,core,,0,0.88,PI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Loon,lake,SPA,3LOO,2,A,2A,,SPA-3LOO09-2A,ice,20090410,5.75,USA,Alaska,Nome,Katey Walter,66.495611,-164.251794,45,exact (read from GPS),LacCore_MRPH,LacCore_MRPH,core,,0,1.315,PI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
