Below are the match results.  Not all, but the majority we should review for now.
I was able to match:

Out of 519 lookups I found 396.  So the question is why am I missing so many 
as I compare against the provided projects file data.  

For example, AGZ, APIRE, and ARBLAG is not in LacCore_holes.csv

Am I looking/searching on the wrong thing or do I not have all the data I need?

Matching AAFBLP to URI: "http://opencoredata/id/resource/csdco/project/aafblp"
Matching AAR(Antibiotic to URI: ""
Matching ABBA to URI: "http://opencoredata/id/resource/csdco/project/abba"
Matching ABS to URI: "http://opencoredata/id/resource/csdco/project/abs"
Matching ACE to URI: "http://opencoredata/id/resource/csdco/project/ace"
Matching ACOW to URI: "http://opencoredata/id/resource/csdco/project/acow"
Matching ADAK to URI: "http://opencoredata/id/resource/csdco/project/adak"
Matching AGZ to URI: ""
Matching AHVC to URI: "http://opencoredata/id/resource/csdco/project/ahvc"
Matching AK to URI: "http://opencoredata/id/resource/csdco/project/ak"
Matching ALCOVE to URI: "http://opencoredata/id/resource/csdco/project/alcove"
Matching ALE to URI: "http://opencoredata/id/resource/csdco/project/ale"
Matching ALK to URI: ""
Matching ALMP to URI: "http://opencoredata/id/resource/csdco/project/almp"
Matching ANCH to URI: "http://opencoredata/id/resource/csdco/project/anch"
Matching APIRE to URI: ""
Matching AQABA to URI: "http://opencoredata/id/resource/csdco/project/aqaba"
Matching ARBLAG to URI: ""
Matching ARCAK to URI: "http://opencoredata/id/resource/csdco/project/arcak"
Matching AROI to URI: "http://opencoredata/id/resource/csdco/project/aroi"
Matching ART to URI: "http://opencoredata/id/resource/csdco/project/art"
Matching ASEA to URI: "http://opencoredata/id/resource/csdco/project/asea"
Matching ASH to URI: "http://opencoredata/id/resource/csdco/project/ash"
Matching AT15 to URI: "http://opencoredata/id/resource/csdco/project/at15"
Matching ATAC to URI: "http://opencoredata/id/resource/csdco/project/atac"
Matching ATLN to URI: "http://opencoredata/id/resource/csdco/project/atln"
Matching AUGIE to URI: "http://opencoredata/id/resource/csdco/project/augie"
Matching AYR to URI: "http://opencoredata/id/resource/csdco/project/ayr"
Matching AZ3 to URI: "http://opencoredata/id/resource/csdco/project/az3"
Matching AZTA to URI: "http://opencoredata/id/resource/csdco/project/azta"
Matching BAD to URI: "http://opencoredata/id/resource/csdco/project/bad"
Matching BAF to URI: "http://opencoredata/id/resource/csdco/project/baf"
Matching BAH to URI: "http://opencoredata/id/resource/csdco/project/bah"
Matching BAR to URI: "http://opencoredata/id/resource/csdco/project/bar"
Matching BARR to URI: "http://opencoredata/id/resource/csdco/project/barr"
Matching BB to URI: "http://opencoredata/id/resource/csdco/project/bb"
Matching BBCP to URI: "http://opencoredata/id/resource/csdco/project/bbcp"
Matching BC to URI: ""
Matching BDL to URI: "http://opencoredata/id/resource/csdco/project/bdl"
Matching BDP to URI: ""
Matching BEAM to URI: "http://opencoredata/id/resource/csdco/project/beam"
Matching BER to URI: "http://opencoredata/id/resource/csdco/project/ber"
Matching BFM to URI: ""
Matching BFW to URI: "http://opencoredata/id/resource/csdco/project/bfw"
Matching BH to URI: ""
Matching BINGO to URI: "http://opencoredata/id/resource/csdco/project/bingo"
Matching BIOMAG to URI: "http://opencoredata/id/resource/csdco/project/biomag"
Matching BLACK to URI: "http://opencoredata/id/resource/csdco/project/black"
Matching BLW to URI: ""
Matching BMOAT to URI: ""
Matching BMW to URI: "http://opencoredata/id/resource/csdco/project/bmw"
Matching BOB to URI: "http://opencoredata/id/resource/csdco/project/bob"
Matching BOLLY to URI: "http://opencoredata/id/resource/csdco/project/bolly"
Matching BPP to URI: "http://opencoredata/id/resource/csdco/project/bpp"
Matching BR to URI: ""
Matching BROOKS to URI: "http://opencoredata/id/resource/csdco/project/brooks"
Matching BRR to URI: "http://opencoredata/id/resource/csdco/project/brr"
Matching BRW to URI: "http://opencoredata/id/resource/csdco/project/brw"
Matching BS2 to URI: "http://opencoredata/id/resource/csdco/project/bs2"
Matching BUGB to URI: "http://opencoredata/id/resource/csdco/project/bugb"
Matching BW2 to URI: "http://opencoredata/id/resource/csdco/project/bw2"
Matching BWCA to URI: "http://opencoredata/id/resource/csdco/project/bwca"
Matching BYTH to URI: "http://opencoredata/id/resource/csdco/project/byth"
Matching Beuning-Africa to URI: ""
Matching CAB to URI: "http://opencoredata/id/resource/csdco/project/cab"
Matching CAHO to URI: "http://opencoredata/id/resource/csdco/project/caho"
Matching CAL to URI: "http://opencoredata/id/resource/csdco/project/cal"
Matching CANAL to URI: "http://opencoredata/id/resource/csdco/project/canal"
Matching CAPA to URI: "http://opencoredata/id/resource/csdco/project/capa"
Matching CAR to URI: "http://opencoredata/id/resource/csdco/project/car"
Matching CARL to URI: "http://opencoredata/id/resource/csdco/project/carl"
Matching CCSM to URI: "http://opencoredata/id/resource/csdco/project/ccsm"
Matching CDV to URI: "http://opencoredata/id/resource/csdco/project/cdv"
Matching CELOT to URI: ""
Matching CEME to URI: "http://opencoredata/id/resource/csdco/project/ceme"
Matching CES to URI: "http://opencoredata/id/resource/csdco/project/ces"
Matching CH2M to URI: "http://opencoredata/id/resource/csdco/project/ch2m"
Matching CHALCO to URI: "http://opencoredata/id/resource/csdco/project/chalco"
Matching CHD to URI: ""
Matching CHEAP to URI: "http://opencoredata/id/resource/csdco/project/cheap"
Matching CHI to URI: "http://opencoredata/id/resource/csdco/project/chi"
Matching CHILE to URI: "http://opencoredata/id/resource/csdco/project/chile"
Matching CHIME to URI: ""
Matching CHIP to URI: "http://opencoredata/id/resource/csdco/project/chip"
Matching CHUB to URI: "http://opencoredata/id/resource/csdco/project/chub"
Matching CIP to URI: "http://opencoredata/id/resource/csdco/project/cip"
Matching CLAC to URI: "http://opencoredata/id/resource/csdco/project/clac"
Matching CLDFT to URI: "http://opencoredata/id/resource/csdco/project/cldft"
Matching CLDP to URI: "http://opencoredata/id/resource/csdco/project/cldp"
Matching CLFLWD to URI: ""
Matching CLGC to URI: "http://opencoredata/id/resource/csdco/project/clgc"
Matching CLO to URI: ""
Matching CLOTHO to URI: ""
Matching CLW to URI: "http://opencoredata/id/resource/csdco/project/clw"
Matching CMTS to URI: ""
Matching CNV to URI: "http://opencoredata/id/resource/csdco/project/cnv"
Matching COL to URI: "http://opencoredata/id/resource/csdco/project/col"
Matching COLO to URI: "http://opencoredata/id/resource/csdco/project/colo"
Matching COOL to URI: "http://opencoredata/id/resource/csdco/project/cool"
Matching COR to URI: ""
