Below are the match results. 

Out of 519 lookups I found 421.  So the question is why am I missing so many 
as I compare against the provided projects file data.  

For example; APIRE,  ARBLAG, AT15 are not in the updated graph still.




Matching AAFBLP to URI: "http://opencoredata.org/id/csdco/project/v1/AAFBLP"
Matching AAR(Antibiotic to URI: ""
Matching ABBA to URI: "http://opencoredata.org/id/csdco/project/v1/ABBA"
Matching ABS to URI: "http://opencoredata.org/id/csdco/project/v1/ABS"
Matching ACE to URI: "http://opencoredata.org/id/csdco/project/v1/ACE"
Matching ACOW to URI: "http://opencoredata.org/id/csdco/project/v1/ACOW"
Matching ADAK to URI: "http://opencoredata.org/id/csdco/project/v1/ADAK"
Matching AGZ to URI: "http://opencoredata.org/id/csdco/project/v1/AGZ"
Matching AHVC to URI: "http://opencoredata.org/id/csdco/project/v1/AHVC"
Matching AK to URI: "http://opencoredata.org/id/csdco/project/v1/AK"
Matching ALCOVE to URI: "http://opencoredata.org/id/csdco/project/v1/ALCOVE"
Matching ALE to URI: "http://opencoredata.org/id/csdco/project/v1/ALE"
Matching ALK to URI: "http://opencoredata.org/id/csdco/project/v1/ALK"
Matching ALMP to URI: "http://opencoredata.org/id/csdco/project/v1/ALMP"
Matching ANCH to URI: "http://opencoredata.org/id/csdco/project/v1/ANCH"
Matching APIRE to URI: ""
Matching AQABA to URI: "http://opencoredata.org/id/csdco/project/v1/AQABA"
Matching ARBLAG to URI: ""
Matching ARCAK to URI: "http://opencoredata.org/id/csdco/project/v1/ARCAK"
Matching AROI to URI: "http://opencoredata.org/id/csdco/project/v1/AROI"
Matching ART to URI: "http://opencoredata.org/id/csdco/project/v1/ART"
Matching ASEA to URI: "http://opencoredata.org/id/csdco/project/v1/ASEA"
Matching ASH to URI: "http://opencoredata.org/id/csdco/project/v1/ASH"
Matching AT15 to URI: ""
Matching ATAC to URI: "http://opencoredata.org/id/csdco/project/v1/ATAC"
Matching ATLN to URI: "http://opencoredata.org/id/csdco/project/v1/ATLN"
Matching AUGIE to URI: "http://opencoredata.org/id/csdco/project/v1/AUGIE"
Matching AYR to URI: "http://opencoredata.org/id/csdco/project/v1/AYR"
Matching AZ3 to URI: "http://opencoredata.org/id/csdco/project/v1/AZ3"
Matching AZTA to URI: "http://opencoredata.org/id/csdco/project/v1/AZTA"
Matching BAD to URI: "http://opencoredata.org/id/csdco/project/v1/BAD"
Matching BAF to URI: "http://opencoredata.org/id/csdco/project/v1/BAF"
Matching BAH to URI: "http://opencoredata.org/id/csdco/project/v1/BAH"
Matching BAR to URI: "http://opencoredata.org/id/csdco/project/v1/BAR"
Matching BARR to URI: "http://opencoredata.org/id/csdco/project/v1/BARR"
Matching BB to URI: "http://opencoredata.org/id/csdco/project/v1/BB"
Matching BBCP to URI: "http://opencoredata.org/id/csdco/project/v1/BBCP"
Matching BC to URI: "http://opencoredata.org/id/csdco/project/v1/BC"
Matching BDL to URI: "http://opencoredata.org/id/csdco/project/v1/BDL"
Matching BDP to URI: ""
Matching BEAM to URI: "http://opencoredata.org/id/csdco/project/v1/BEAM"
Matching BER to URI: "http://opencoredata.org/id/csdco/project/v1/BER"
Matching BFM to URI: ""
Matching BFW to URI: "http://opencoredata.org/id/csdco/project/v1/BFW"
Matching BH to URI: ""
Matching BINGO to URI: "http://opencoredata.org/id/csdco/project/v1/BINGO"
Matching BIOMAG to URI: "http://opencoredata.org/id/csdco/project/v1/BIOMAG"
Matching BLACK to URI: "http://opencoredata.org/id/csdco/project/v1/BLACK"
Matching BLW to URI: ""
Matching BMOAT to URI: ""
Matching BMW to URI: "http://opencoredata.org/id/csdco/project/v1/BMW"
Matching BOB to URI: "http://opencoredata.org/id/csdco/project/v1/BOB"
Matching BOLLY to URI: "http://opencoredata.org/id/csdco/project/v1/BOLLY"
Matching BPP to URI: "http://opencoredata.org/id/csdco/project/v1/BPP"
Matching BR to URI: ""
Matching BROOKS to URI: "http://opencoredata.org/id/csdco/project/v1/BROOKS"
Matching BRR to URI: "http://opencoredata.org/id/csdco/project/v1/BRR"
Matching BRW to URI: "http://opencoredata.org/id/csdco/project/v1/BRW"
Matching BS2 to URI: "http://opencoredata.org/id/csdco/project/v1/BS2"
Matching BUGB to URI: "http://opencoredata.org/id/csdco/project/v1/BUGB"
Matching BW2 to URI: "http://opencoredata.org/id/csdco/project/v1/BW2"
Matching BWCA to URI: "http://opencoredata.org/id/csdco/project/v1/BWCA"
Matching BYTH to URI: "http://opencoredata.org/id/csdco/project/v1/BYTH"
Matching Beuning-Africa to URI: ""
Matching CAB to URI: "http://opencoredata.org/id/csdco/project/v1/CAB"
Matching CAHO to URI: "http://opencoredata.org/id/csdco/project/v1/CAHO"
Matching CAL to URI: "http://opencoredata.org/id/csdco/project/v1/CAL"
Matching CANAL to URI: "http://opencoredata.org/id/csdco/project/v1/CANAL"
Matching CAPA to URI: "http://opencoredata.org/id/csdco/project/v1/CAPA"
Matching CAR to URI: "http://opencoredata.org/id/csdco/project/v1/CAR"
Matching CARL to URI: "http://opencoredata.org/id/csdco/project/v1/CARL"
Matching CCSM to URI: "http://opencoredata.org/id/csdco/project/v1/CCSM"
Matching CDV to URI: "http://opencoredata.org/id/csdco/project/v1/CDV"
Matching CELOT to URI: ""
Matching CEME to URI: "http://opencoredata.org/id/csdco/project/v1/CEME"
Matching CES to URI: "http://opencoredata.org/id/csdco/project/v1/CES"
Matching CH2M to URI: "http://opencoredata.org/id/csdco/project/v1/CH2M"
Matching CHALCO to URI: "http://opencoredata.org/id/csdco/project/v1/CHALCO"
Matching CHD to URI: "http://opencoredata.org/id/csdco/project/v1/CHD"
Matching CHEAP to URI: "http://opencoredata.org/id/csdco/project/v1/CHEAP"
Matching CHI to URI: "http://opencoredata.org/id/csdco/project/v1/CHI"
Matching CHILE to URI: "http://opencoredata.org/id/csdco/project/v1/CHILE"
Matching CHIME to URI: "http://opencoredata.org/id/csdco/project/v1/CHIME"
Matching CHIP to URI: "http://opencoredata.org/id/csdco/project/v1/CHIP"
Matching CHUB to URI: "http://opencoredata.org/id/csdco/project/v1/CHUB"
Matching CIP to URI: "http://opencoredata.org/id/csdco/project/v1/CIP"
Matching CLAC to URI: "http://opencoredata.org/id/csdco/project/v1/CLAC"
Matching CLDFT to URI: "http://opencoredata.org/id/csdco/project/v1/CLDFT"
Matching CLDP to URI: "http://opencoredata.org/id/csdco/project/v1/CLDP"
